Name	MS2FormulaType	Q1	Q3	CE	Polarity	Formula	MS2Formula	IntegrationStartTime	IntegrationEndTime	Tags
PC_40:14	ConstantProduct	818.4755312242006	184.07332101418055		Positive	C48H69O8N1P1	C5H15O4N1P1	0	120	
PC_42:15	ConstantProduct	844.4911812883405	184.07332101418055		Positive	C50H71O8N1P1	C5H15O4N1P1	0	120	
PC_44:15	ConstantProduct	872.5224814166205	184.07332101418055		Positive	C52H75O8N1P1	C5H15O4N1P1	0	120	
PC_46:0	ConstantProduct	930.7885325070005	184.07332101418055		Positive	C54H109O8N1P1	C5H15O4N1P1	0	120	
PC_46:1	ConstantProduct	928.7728824428606	184.07332101418055		Positive	C54H107O8N1P1	C5H15O4N1P1	0	120	
PC_46:2	ConstantProduct	926.7572323787207	184.07332101418055		Positive	C54H105O8N1P1	C5H15O4N1P1	0	120	
PC_46:3	ConstantProduct	924.7415823145806	184.07332101418055		Positive	C54H103O8N1P1	C5H15O4N1P1	0	120	
PC_46:4	ConstantProduct	922.7259322504407	184.07332101418055		Positive	C54H101O8N1P1	C5H15O4N1P1	0	120	
PC_46:5	ConstantProduct	920.7102821863006	184.07332101418055		Positive	C54H99O8N1P1	C5H15O4N1P1	0	120	
PC_46:6	ConstantProduct	918.6946321221607	184.07332101418055		Positive	C54H97O8N1P1	C5H15O4N1P1	0	120	
PC_46:7	ConstantProduct	916.6789820580206	184.07332101418055		Positive	C54H95O8N1P1	C5H15O4N1P1	0	120	
PC_46:8	ConstantProduct	914.6633319938807	184.07332101418055		Positive	C54H93O8N1P1	C5H15O4N1P1	0	120	
PC_46:9	ConstantProduct	912.6476819297405	184.07332101418055		Positive	C54H91O8N1P1	C5H15O4N1P1	0	120	
PC_46:10	ConstantProduct	910.6320318656007	184.07332101418055		Positive	C54H89O8N1P1	C5H15O4N1P1	0	120	
PC_46:11	ConstantProduct	908.6163818014605	184.07332101418055		Positive	C54H87O8N1P1	C5H15O4N1P1	0	120	
PC_46:12	ConstantProduct	906.6007317373206	184.07332101418055		Positive	C54H85O8N1P1	C5H15O4N1P1	0	120	
PC_46:13	ConstantProduct	904.5850816731805	184.07332101418055		Positive	C54H83O8N1P1	C5H15O4N1P1	0	120	
PC_46:14	ConstantProduct	902.5694316090406	184.07332101418055		Positive	C54H81O8N1P1	C5H15O4N1P1	0	120	
